Group,Contrast,Correlation,Energy,Homogeneity,LBP_Entropy,Gabor_Mean,Wavelet_Energy
Generic,1190.2753395858526,0.7865454603216464,0.010886007965932556,0.0727260277314557,4.794627903316846,77.66484918793503,15.311942997685184
Generic,820.0612417193217,0.9176121327910591,0.016748875807916223,0.10515167686474733,4.99507965504198,70.48834292763158,10.550205592105263
Generic,1253.929254694836,0.7888283731428892,0.009960987429166549,0.07310128281633715,4.686763381717807,66.9490087890625,13.89013671875
Generic,872.7616466158062,0.9182653750817013,0.013764790025648212,0.12607437652754927,5.074100599676999,67.59861328125,8.57806640625
Generic,1098.9988921065335,0.8337419056094105,0.008530117443502731,0.08129554171992376,4.797865261819462,70.55373101635514,14.377299941588785
Generic,688.8788569379236,0.8144016741817292,0.009609348133846927,0.06336244956402677,4.783387259764336,63.32158203125,12.070911458333333
Generic,1222.448706812826,0.8614025662163547,0.010218898680758518,0.09892564407644051,4.9970002024406375,66.68134148126464,12.158462324766354
Generic,2771.41103286385,0.7914917883295914,0.01457148542641354,0.0758332424317219,4.603087216832547,90.10555419921874,19.8639306640625
Generic,2176.330540884194,0.7822398262527639,0.009635396111349314,0.08469091075790562,4.605147288637703,77.0124755859375,18.04146484375
Generic,3692.599315336464,0.4175311684000033,0.005497629054041065,0.027292934346732592,4.355672733816269,95.47081705729167,28.509505208333334
Generic,740.3027900039123,0.9103648685504784,0.01618415723054974,0.15397158788967502,5.191167839976348,64.82983642578125,8.69080078125
Generic,3047.881915968384,0.5765283511114769,0.007064373599737858,0.04368784110965167,4.537721438033706,87.40631922468354,26.60357990506329
Generic,659.8726248301033,0.9359660033521838,0.018130791104976545,0.14855590897126658,4.806123235611239,43.766176470588235,9.376724697231834
Generic,2748.3603903157496,0.7044038644252459,0.006955722717611807,0.04003665492272068,4.735571076689519,97.69859926470588,23.14286971830986
Generic,4193.879512231625,0.4639445922904329,0.005720231149444551,0.04232905323355529,4.511864730797674,90.50422622141372,26.486540456431534
Generic,1622.3089430099112,0.7733527326991483,0.007393229388347732,0.05682640538397635,4.96097421924937,88.14500651041666,16.899251302083332
Generic,399.867574775728,0.9116067368823535,0.014772689976998798,0.10946634525391068,5.197565024026842,64.97808343114241,6.72712890625
Generic,917.316104206941,0.8558674322422564,0.012619738003811774,0.08962880212314445,4.996532541496849,70.2844375,12.142781690140845
Generic,640.6193979273717,0.8928746076949254,0.011828227585393293,0.09375556859729153,5.017015357910508,65.48754613681102,9.88660187007874
Generic,121.69586685635794,0.980009689357848,0.05662866644687211,0.24095312646683126,4.381604540107896,9.574924079153606,3.0157229623824455
Generic,783.3029277516954,0.8814107739461574,0.012484275561909133,0.09307649877850463,4.436447036023521,41.186848958333336,11.8758984375
